Keypoint,Visible,Occluded,Absent,Pct_Visible
L_Eye,195,0,56,77.69
R_Eye,211,0,40,84.06
Chin,238,0,13,94.82
R_F_Hoof,251,0,0,100.0
L_F_Hoof,251,0,0,100.0
R_B_Hoof,248,0,3,98.8
L_B_Hoof,249,0,2,99.2
Tail_Base,248,0,3,98.8
R_Shoulder,248,0,3,98.8
L_Shoulder,247,0,4,98.41
R_Hip,249,0,2,99.2
L_Hip,245,0,6,97.61
Spine_Mid,228,0,23,90.84
Withers,227,0,24,90.44
R_F_Knee,251,0,0,100.0
L_F_Knee,251,0,0,100.0
R_B_Knee,248,0,3,98.8
L_B_Knee,247,0,4,98.41
Throat,190,0,61,75.7
Tail_Tip,233,0,18,92.83
L_EarBase,198,0,53,78.88
R_EarBase,208,0,43,82.87
Mouth_Corner,186,0,65,74.1
Nose_Tip,203,0,48,80.88
Nose_Bridge,242,0,9,96.41
Tail_Mid,225,0,26,89.64
